LOINC,MAP_TO,COMMENT
15779-2,102374-6,
15780-0,102375-3,
15781-8,102376-1,
15782-6,102377-9,
15783-4,102378-7,
15784-2,102379-5,
15785-9,102380-3,
15786-7,102381-1,
15787-5,102382-9,
15788-3,102383-7,
15789-1,102384-5,
15790-9,102385-2,
15791-7,102386-0,
15792-5,102387-8,
15793-3,102388-6,
15794-1,102389-4,
15795-8,102390-2,
15796-6,102391-0,
15797-4,102392-8,
15798-2,102393-6,
15799-0,102394-4,
15800-6,102395-1,
15801-4,102396-9,
15802-2,102397-7,
15803-0,102398-5,
15804-8,102398-5,
15805-5,102399-3,
15806-3,102400-9,
15807-1,102401-7,
15808-9,102402-5,
15809-7,102403-3,
15810-5,102404-1,
15811-3,102405-8,
15812-1,102406-6,
15813-9,102407-4,
15814-7,102408-2,
15815-4,102409-0,
15816-2,102410-8,
15817-0,102411-6,
15818-8,102412-4,
15819-6,102413-2,
15820-4,102414-0,
15821-2,102415-7,
15822-0,102416-5,
15823-8,102417-3,
15824-6,102418-1,
15825-3,102419-9,
15826-1,102420-7,
15827-9,102421-5,
15828-7,102422-3,
15829-5,102423-1,
15830-3,102250-8,
15831-1,102424-9,
15832-9,102425-6,
15833-7,102426-4,
15834-5,102427-2,
15835-2,102428-0,
15836-0,102429-8,
15837-8,102430-6,
15838-6,102431-4,
15839-4,102432-2,
15840-2,102433-0,
15841-0,102434-8,
15843-6,102435-5,
15844-4,102436-3,
15845-1,102437-1,
15846-9,102438-9,
15847-7,102439-7,
15848-5,102440-5,
15849-3,102441-3,
15850-1,102442-1,
15851-9,102443-9,
15852-7,102444-7,
15853-5,102445-4,
15854-3,102446-2,
15855-0,102447-0,
15856-8,102448-8,
15857-6,102449-6,
15858-4,102450-4,
15859-2,102451-2,
15860-0,102452-0,
15861-8,102453-8,
15862-6,102454-6,
15863-4,102455-3,
15864-2,102456-1,
15865-9,102456-1,
15866-7,102457-9,
15868-3,102458-7,
15869-1,102458-7,
15870-9,102459-5,
15871-7,102460-3,
15872-5,102461-1,
15873-3,102462-9,
15874-1,102463-7,
15875-8,102464-5,
15876-6,102465-2,
15877-4,102466-0,
15878-2,102467-8,
15879-0,102468-6,
15880-8,102469-4,
15881-6,102470-2,
15882-4,102471-0,
15883-2,102469-4,
15884-0,102464-5,
15885-7,102472-8,
