PATH_TO_ROOT,SEQUENCE,IMMEDIATE_PARENT,CODE,CODE_TEXT
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442086-7,1,LP442086-7,14477-4,Bacteria Urth Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442086-7,2,LP442086-7,10354-9,Bacteria Urth Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,67,LP14082-9,LP433186-6,Bacteria | Urine | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP433186-6,1,LP433186-6,13315-7,Bacteria 24h Ur Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP433186-6,2,LP433186-6,100906-7,Bacteria # Ur Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP433186-6,3,LP433186-6,17969-7,Deprecated Bacteria Ur Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP433186-6,4,LP433186-6,630-4,Bacteria Ur Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP433186-6,5,LP433186-6,14320-6,Deprecated Bacteria Ur Cult @1:100
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP433186-6,6,LP433186-6,104865-1,Bacteria Ur Ql Comp Assist
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP433186-6,7,LP433186-6,17970-5,Bacteria Ur Cult org #2
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP433186-6,8,LP433186-6,17971-3,Bacteria Ur Cult org #3
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP433186-6,9,LP433186-6,17972-1,Bacteria Ur Cult org #4
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP433186-6,10,LP433186-6,17973-9,Bacteria Ur Cult org #5
